sample_id,rA,rB,rX,t,tau
1,1.2247240713084175,0.5125716742746937,1.2103363442337214,0.0,2.077859186373261
2,1.5704285838459497,0.7545641645055121,1.3062709263136296,1.0101010101010102,9.014745526659055
3,1.4391963650868431,0.6257423924305306,1.3081270243220213,2.0202020202020203,6.342332081986438
4,1.359195090518222,0.7034282764658811,1.3274859802996413,3.0303030303030303,7.111920872300407
5,1.0936111842654619,0.8630265895704372,1.3452182667445323,4.040404040404041,8.102541147466045
6,1.0935967122017216,0.59971689165955,1.395170415892507,5.050505050505051,5.485979790361515
7,1.0348501673009196,0.6641531692142519,1.303260069660239,6.0606060606060606,1.7822825927868133
8,1.519705687464961,0.8022204554172194,1.2645912945882491,7.070707070707071,5.83395887636693
9,1.3606690070459253,0.591519266196649,1.3590372389537406,8.080808080808081,6.281570062187912
10,1.4248435466776272,0.5307919639315172,1.2541664502524148,9.090909090909092,7.70895526765897
11,1.0123506965774816,0.6159005811655072,1.2877942841411272,10.101010101010102,4.884935916067114
12,1.5819459112971965,0.5644885149016018,1.215691276268453,11.111111111111112,2.148222725160074
13,1.4994655844802531,0.8718790609370293,1.2050701486830915,12.121212121212121,3.55398315218852
14,1.1274034664069656,0.8232481518257668,1.3925296829355849,13.131313131313131,4.267740667587716
15,1.1090949803242605,0.7533615026041693,1.367196024102441,14.141414141414142,6.8132551719844106
16,1.1100427059120603,0.848584236075087,1.3391948412187396,15.151515151515152,6.137004742020207
17,1.1825453457757227,0.8214688307596458,1.281790588882854,16.161616161616163,4.204870533080616
18,1.3148538589793428,0.5746280235544143,1.2346588640141691,17.171717171717173,9.878637239136816
19,1.2591670111852695,0.8570235993959912,1.2312874085342171,18.181818181818183,6.451973374211985
20,1.1747374841188252,0.7157368967662603,1.250048579632919,19.191919191919194,3.1350411256239505
21,1.3671117368334278,0.822976062065625,1.309845332941224,20.202020202020204,1.9160422535836337
22,1.0836963163912252,0.8584365199693973,1.3429191845400124,21.212121212121215,2.375732252658988
23,1.175286789121131,0.6272013899887455,1.3320394753435463,22.222222222222225,3.213619555460573
24,1.219817105976215,0.5440207698110707,1.2559867793891886,23.232323232323235,2.446132359336001
25,1.2736419905302216,0.5911740650167767,1.3909730561326388,24.242424242424242,2.679103216461752
26,1.4711055768358081,0.6708431154505026,1.3475793833391536,25.252525252525253,3.565856518244624
27,1.1198042692950159,0.8272059063689973,1.3108708105022802,26.262626262626263,2.560362357652793
