sample_id,rA,rB,rX,t,tau
S_1,1.2247240713084175,0.8140703845572055,1.878709239435191,0.8149418242156232,1.1525017803508053
S_2,1.5704285838459497,0.5798695128633439,1.74259297635278,1.0086965978186586,1.4265124089547465
S_3,1.4391963650868431,0.7056937753654446,1.8576492590949323,0.9094459329259796,1.2861507725889727
S_4,1.359195090518222,0.736965827544817,1.826379145299354,0.8787506824024721,1.2427411329981886
S_5,1.0936111842654619,0.5185801650879991,1.6185299851677595,0.8973676027938635,1.2690694343053144
S_6,1.0935967122017216,0.7430179407605754,1.8453119645161817,0.8028815223123613,1.135445937832898
S_7,1.0348501673009196,0.5682096494749166,1.2619447514363435,0.8874001347783946,1.2549733058553183
S_8,1.519705687464961,0.5260206371941119,1.3371880036934016,1.0842204452126651,1.5333192582219464
S_9,1.3606690070459253,0.8795542149013333,1.2316591022373766,0.8682461266486456,1.2278854477844228
S_10,1.4248435466776272,0.8862528132298237,1.427731231534285,0.8716892296986339,1.2327547308143643
S_11,1.0123506965774816,0.8233589392465845,1.4720741027826374,0.765325579448204,1.0823338140866978
S_12,1.5819459112971965,0.6218455076693483,1.3899443222417271,1.0445642511128177,1.4772369306938422
S_13,1.4994655844802531,0.5390688456025535,1.7801162564063504,0.9999264643164626,1.4141095672121182
S_14,1.1274034664069656,0.7736932106048628,1.4497273286855124,0.819596036382832,1.1590838303198336
S_15,1.1090949803242605,0.6760609974958405,1.3966541567811666,0.8548363257456997,1.2089211254787535
S_16,1.1100427059120603,0.5488152939379115,1.579887258210774,0.8935338178780399,1.2636476436821353
S_17,1.1825453457757227,0.6980707640445081,1.2986469574823338,0.8786759811597409,1.242635489487592
S_18,1.3148538589793428,0.5137554084460874,1.7615378865278277,0.9560690349853903,1.352085795841296
S_19,1.2591670111852695,0.8637281608315128,1.2521854505758396,0.8392565490798465,1.1868879940191601
S_20,1.1747374841188252,0.6035119926400068,1.890820855620362,0.8690408305629154,1.229009328838054
S_21,1.3671117368334278,0.7650089137415927,1.7405713385076602,0.8770278957856927,1.2403047447996642
S_22,1.0836963163912252,0.6246844304357644,1.3391009770739206,0.8723847265074298,1.2337383118339507
S_23,1.175286789121131,0.7080272084711243,1.2038654819865215,0.8799210922098896,1.2443963424213726
S_24,1.219817105976215,0.7186841117373118,1.770822999918384,0.8494460164687383,1.2012980769938892
S_25,1.2736419905302216,0.5739417822102109,1.694800140693332,0.9251848080903393,1.3084089033029072
D_1,1.3746124288802761,0.6605321227005188,1.56164512388971,0.9343303420371741,1.3213426414456644
D_2,1.1773802115026284,0.6762648240656731,1.3825804223812863,0.8792139802220742,1.2433963350580874
D_3,1.0632965558981624,0.7104521077837792,1.897377589830547,0.8027797088297711,1.1353019518249867
D_4,1.273920742289746,0.5795187213608062,1.8757935459021553,0.9070880155147792,1.2828161738070973
D_5,1.1310642623301002,0.7409006099161014,1.5908054175249682,0.8254267413992086,1.1673296924321903
D_6,1.2499059687222198,0.7816166793430648,1.8178454402325377,0.8344910310216985,1.1801485337495934
D_7,1.529968155351321,0.7012891469534239,1.3320949758389655,0.9952788681508187,1.4075368736822313
D_8,1.1946070126031645,0.7647398780501653,1.3952099468145271,0.8478331824911229,1.1990171853088893
D_9,1.073252772820404,0.5974044123681667,1.6902504809809398,0.8541899813101815,1.2080070564120793
D_10,1.213778702846185,0.8375528976541342,1.792662799566814,0.8082512684579731,1.143039905658523
D_11,1.5440970649274526,0.7441076118915894,1.7994270043146647,0.9295051568623222,1.3145187991304272
D_12,1.1632793496307812,0.5763433440384556,1.483155688985533,0.9086249285718804,1.284989697096638
D_13,1.3886140723248175,0.5882495598236208,1.8214390691326718,0.9419683178224191,1.3321443703902354
D_14,1.0003122261971895,0.8149749218381935,1.7956499141372588,0.7573067420974814,1.070993465550842
D_15,1.2115413138005016,0.7156554945284578,1.8549444959546633,0.843512377856455,1.1929066447941776
D_16,1.1828687548948174,0.7097371867689233,1.7497384557797604,0.8431335563362925,1.192370910262645
D_17,1.098793511885765,0.757098654096084,1.66829177829996,0.8067256911205515,1.1408824134974922
D_18,1.3204536516252652,0.7457166412221218,1.6064806350055183,0.8798815911747278,1.244340479521719
D_19,1.29089798281539,0.7655825686240332,1.4605979365932202,0.8739639119385204,1.2359716172881008
D_20,1.4154616197341623,0.5579849894140858,1.858093409720445,0.9580620234607677,1.3549043071728284
D_21,1.1616474002791128,0.6822204859777941,1.881564685728722,0.8393354975107604,1.1869996439608868
D_22,1.1464753133486645,0.6875888675245017,1.398744682316226,0.8626340302506438,1.2199487449450233
D_23,1.1009746253037584,0.7063379556354391,1.4137547022410755,0.8387285120531789,1.1861412368946116
D_24,1.1312585317438422,0.6290511123083948,1.5399296275103587,0.8708308130904343,1.2315407464048822
D_25,1.3348612012104049,0.8931182968448557,1.513896900090373,0.8368772137187712,1.1835231056820936
